id_pelanggan;usia;status_pekerjaan;lama_bekerja_tahun;pendapatan_tahunan;skor_kredit;lama_riwayat_kredit_tahun;aset_tabungan;hutang_saat_ini;gagal_bayar_tercatat;tunggakan_2thn_terakhir;catatan_negatif;tipe_produk;tujuan_pinjaman;jumlah_pinjaman;suku_bunga;rasio_hutang_terhadap_pendapatan;rasio_pinjaman_terhadap_pendapatan;rasio_pembayaran_terhadap_pendapatan;status_pinjaman
CUST100010;29.00.00;Employed;05.00;15000;657;08.09;2105;3866;0;0;0;Kredit Berjalan;Pendidikan;5000;09.24;0,179166667;0,23125;0,077083333;1
CUST100011;29.00.00;Student;01.03;17029;668;04.03;215;5592;0;0;0;Kredit Berjalan;Pribadi;6300;0,422916667;0,227777778;00.37;0,085416667;1
CUST100012;37.00.00;Employed;01.03;49084;580;11.03;1289;21106;0;0;1;Kredit Berjalan;Medis;40800;13.12;00.43;0,577083333;0,192361111;0
CUST100013;18.00;Employed;00.00;55958;681;01.04;378;14090;0;0;0;Kartu Kredit;Pendidikan;18000;0,7625;0,175;0,223611111;0,074305556;1
CUST100014;18.00;Self-Employed;01.00;99020;561;01.06;538;13733;0;1;1;Kartu Kredit;Medis;35700;21.57;0,096527778;0,250694444;00.12;0
CUST100015;28.00.00;Employed;00.04;59609;654;02.06;881;9183;0;0;0;Kartu Kredit;Konsolidasi Hutang;19500;17.33;0,106944444;0,227083333;0,075694444;1
CUST100016;22.00;Self-Employed;01.00;82604;605;03.05;9216;16116;0;0;0;Kredit Berjalan;Pribadi;50000;12.57;0,135416667;0,420138889;0,140277778;1
CUST100017;38.00.00;Employed;05.03;53356;671;19.08;6339;23085;0;1;0;Kartu Kredit;Konsolidasi Hutang;18700;17.58;0,300694444;00.35;0,08125;1
CUST100018;24.00.00;Employed;05.04;18675;531;03.03;11;3280;0;2;0;Kartu Kredit;Medis;9500;22.49;0,122222222;0,353472222;00.17;0
CUST100019;18.00;Self-Employed;01.00;55309;597;01.05;346;2930;0;0;0;Pinjaman Pribadi;Konsolidasi Hutang;50400;16.13;0.053;0,632638889;0,211111111;0
CUST100020;52.00.00;Employed;31.03.00;75932;695;02.01;1283;10655;0;0;0;Pinjaman Pribadi;Renovasi Rumah;96000;11.05;00.14;1.264;0,292361111;1
CUST100021;32.00.00;Employed;01.03;109702;720;10.04;2790;42534;0;0;0;Kartu Kredit;Pribadi;4000;17.41;0,269444444;0.036;0.012;1
CUST100022;35.00.00;Employed;16.09;68117;698;16.03;549;20450;0;0;0;Kartu Kredit;Renovasi Rumah;16400;17.07;00.03;0,167361111;00.08;1
CUST100023;18.00;Student;00.03;33556;574;01.05;91;10727;0;1;1;Kartu Kredit;Bisnis;3400;21.47;00.32;0,070138889;0.034;0
CUST100024;28.00.00;Self-Employed;05.04;59899;567;03.02;20476;27393;0;0;0;Kredit Berjalan;Medis;31700;0,651388889;0,317361111;0,367361111;0,122222222;0
CUST100025;36.00.00;Employed;06.08;55609;651;16.09;1896;16140;0;0;0;Pinjaman Pribadi;Pendidikan;69400;0,567361111;00.29;1.248;0,288888889;1
CUST100026;21.00;Employed;02.09;31219;656;01.00;54;5261;0;0;0;Kartu Kredit;Bisnis;19400;0,773611111;0,117361111;0,43125;0,14375;1
CUST100027;39.00.00;Employed;00.00;43085;579;03.05;206;359;0;4;1;Pinjaman Pribadi;Medis;82800;0,672222222;0.008;1.922;0,445138889;0
CUST100028;27.00.00;Employed;06.02;23613;594;02.09;320;3017;1;1;0;Pinjaman Pribadi;Konsolidasi Hutang;26400;0,672222222;0,088888889;1.118;0,259027778;0
CUST100029;31.00.00;Employed;12.09;21376;632;08.00;3388;5083;0;1;1;Kredit Berjalan;Pendidikan;6200;12.25;0,165277778;00.29;0.097;1
CUST100030;27.00.00;Employed;06.02;32073;619;08.00;274;6458;0;0;0;Pinjaman Pribadi;Medis;50600;13.03;0,139583333;1.578;0,365277778;1
CUST100031;57.00.00;Self-Employed;21.05;38484;696;10.05;4316;18674;0;1;0;Kredit Berjalan;Medis;18500;0,440972222;0,336805556;0,334027778;00.16;0
CUST100032;34.00.00;Employed;10.07;27886;623;06.08;110;2991;0;1;0;Pinjaman Pribadi;Renovasi Rumah;45300;0,604861111;0,074305556;1.624;0,375694444;0
CUST100033;22.00;Employed;03.09;36867;607;02.08;82;7111;0;1;0;Kartu Kredit;Renovasi Rumah;44700;20.18;0,134027778;1.212;0,280555556;0
CUST100034;44.00.00;Employed;18.07;92711;671;00.08;3851;14546;0;0;0;Pinjaman Pribadi;Pribadi;100000;12.14;0,109027778;1.079;00.36;1
CUST100035;20.00;Employed;01.00;21651;703;01.07;52;12414;0;1;0;Kartu Kredit;Pribadi;30000;16.23;0,397916667;1.386;0,320833333;0
CUST100036;37.00.00;Employed;04.07;48193;523;02.07;257;2464;0;0;0;Pinjaman Pribadi;Pendidikan;64500;0,725694444;0.051;1.338;0,309722222;0
CUST100037;18.00;Employed;00.00;18730;618;00.04;0;3908;0;0;0;Pinjaman Pribadi;Konsolidasi Hutang;7000;0,594444444;0,145138889;0,259722222;0,086805556;0
CUST100038;19.00;Employed;00.02;38696;546;00.09;36;10868;0;0;0;Kartu Kredit;Pendidikan;2400;21.08;0,195138889;0.062;0.021;1
CUST100039;37.00.00;Employed;01.02;55961;704;01.08;131;4799;0;0;0;Kredit Berjalan;Renovasi Rumah;27000;0,398611111;0.086;0,334722222;0,111805556;1
CUST100040;43.00.00;Employed;19.01;36496;589;18.02;463;7873;0;1;0;Kartu Kredit;Pribadi;44300;22.33;0,15;1.214;0,28125;0
CUST100041;37.00.00;Employed;07.00;54983;744;07.02;399;6316;0;0;1;Pinjaman Pribadi;Pendidikan;100000;10.27;0,079861111;1.819;0,420833333;1
CUST100042;33.00.00;Employed;03.02;15000;688;07.06;459;2587;0;0;0;Kartu Kredit;Renovasi Rumah;6000;18.05;0,119444444;00.04;0,092361111;1
CUST100043;31.00.00;Employed;10.00;51632;677;11.00;3117;32886;0;0;0;Kartu Kredit;Pribadi;59700;18.54;0,442361111;1.156;0,267361111;0
CUST100044;18.00;Employed;00.00;17747;666;00.01;2;3846;0;0;0;Kartu Kredit;Pribadi;24300;0,75625;0,150694444;1.369;0,316666667;0
CUST100045;26.00.00;Self-Employed;01.03;33606;675;01.04;258;3586;0;1;1;Pinjaman Pribadi;Pribadi;23700;0,509027778;0,074305556;0,489583333;0,163194444;0
CUST100046;29.00.00;Employed;04.06;23699;646;03.02;105;5021;0;1;0;Kartu Kredit;Pendidikan;27100;20.09;0,147222222;1.144;0,264583333;1
CUST100047;47.00.00;Student;00.00;15000;698;05.01;154;3399;0;0;0;Pinjaman Pribadi;Renovasi Rumah;25400;0,509722222;0,157638889;1.693;0,391666667;1
CUST100048;39.00.00;Employed;17.04;23955;542;04.06;422;4766;0;0;0;Kartu Kredit;Bisnis;33300;21.39;0,138194444;01.39;0,321527778;0
CUST100049;18.00;Employed;00.00;48420;636;00.07;12;20570;0;0;0;Kredit Berjalan;Bisnis;41600;0,549305556;0,295138889;0,596527778;0,198611111;0
CUST100050;38.00.00;Employed;07.08;47368;659;01.01;15;10330;0;0;0;Kredit Berjalan;Pendidikan;37600;0,440972222;0,151388889;0,551388889;0,184027778;1
CUST100051;30.00.00;Employed;10.08;60218;719;10.08;1120;20999;0;1;0;Kredit Berjalan;Konsolidasi Hutang;40800;09.41;0,242361111;0,470833333;0,156944444;1
CUST100052;26.00.00;Employed;04.07;49924;675;06.04;333;7730;0;0;0;Kartu Kredit;Konsolidasi Hutang;47000;0,81875;0,107638889;0,653472222;0,218055556;1
CUST100053;42.00.00;Employed;19.03;49881;620;17.09;17865;8324;0;0;0;Kartu Kredit;Medis;10000;20.46;0,115972222;00.02;0.067;1
CUST100054;47.00.00;Self-Employed;04.02;172243;820;03.03;85551;10893;0;0;0;Kredit Berjalan;Bisnis;41700;06.31;0.063;0,168055556;0.081;1
CUST100055;46.00.00;Self-Employed;03.06;148299;734;00.01;138;69079;0;0;0;Kartu Kredit;Pendidikan;70000;0,684722222;0,323611111;0,327777778;0,109027778;1
CUST100056;24.00.00;Employed;02.01;34736;594;00.04;29;2283;0;2;0;Kartu Kredit;Pendidikan;43600;22.43;0.066;1.255;0,290277778;0
CUST100057;31.00.00;Employed;08.08;46820;550;05.09;316;17814;0;0;0;Kartu Kredit;Bisnis;9700;21.29;00.38;0,14375;0.069;0
CUST100058;38.00.00;Employed;03.03;32568;640;10.08;3073;7636;1;1;0;Pinjaman Pribadi;Pendidikan;11400;0,632638889;0,1625;00.35;0,08125;0
CUST100059;46.00.00;Employed;01.08;50953;709;17.09;9578;9420;0;1;0;Kredit Berjalan;Konsolidasi Hutang;16300;0,348611111;0,128472222;00.32;0,074305556;1
CUST100060;29.00.00;Employed;10.07;35025;607;00.04;6;15760;0;2;0;Kartu Kredit;Bisnis;26100;19.02;00.45;0,517361111;0,172222222;0
CUST100061;32.00.00;Employed;04.01;25546;570;07.04;18406;3482;0;0;0;Pinjaman Pribadi;Pendidikan;20200;0,686805556;0,094444444;0,549305556;0,183333333;1
CUST100062;21.00;Employed;01.09;47404;778;00.05;140;16632;0;0;0;Kartu Kredit;Konsolidasi Hutang;47400;15.29;0,24375;01.00;0,23125;1
CUST100063;20.00;Employed;01.03;26639;485;01.05;207;10305;0;0;0;Pinjaman Pribadi;Renovasi Rumah;16000;15.16;0,26875;0,417361111;00.02;0
CUST100064;44.00.00;Employed;01.00;36482;681;01.07;47;3615;0;0;0;Kredit Berjalan;Pendidikan;23700;0,442361111;0.099;0,045138889;0,150694444;1
CUST100065;51.00.00;Employed;18.07;34543;592;30.00.00;52072;6288;0;0;1;Kartu Kredit;Bisnis;23000;22.49;0,126388889;0,4625;0,154166667;0
CUST100066;34.00.00;Employed;03.02;87591;681;07.08;325;31229;0;1;0;Kartu Kredit;Pribadi;21000;0,772916667;0,247916667;00.24;00.08;1
CUST100067;47.00.00;Employed;02.06;34455;774;24.05.00;3635;7696;0;1;0;Kartu Kredit;Pendidikan;46700;0,630555556;0,154861111;1.355;0,313888889;1
CUST100068;39.00.00;Employed;08.03;37923;595;18.05;895;20363;0;0;0;Pinjaman Pribadi;Konsolidasi Hutang;48300;0,7125;0,372916667;1.274;0,295138889;0
CUST100069;27.00.00;Employed;07.01;61606;675;04.03;1039;4719;0;0;0;Kredit Berjalan;Renovasi Rumah;23400;0,463194444;0.077;00.38;0,088194444;1
CUST100070;39.00.00;Employed;20.04;31003;702;00.09;104;6705;0;0;0;Kredit Berjalan;Pribadi;8600;08.01;0,15;0,192361111;0.092;1
CUST100071;;Employed;17.03;57938;697;10.00;8553;38346;0;0;0;Kartu Kredit;Pribadi;59100;0,796527778;0,459722222;01.02;00.34;0
CUST100072;34.00.00;Employed;14.02;63302;649;13.07;8611;17651;0;0;0;Pinjaman Pribadi;Medis;56300;14.08;0,19375;0,617361111;0,205555556;1
CUST100073;53.00.00;Employed;33.01.00;43747;702;26.07.00;642;7077;0;0;0;Pinjaman Pribadi;Medis;38100;11.28;0,1125;0,604861111;00.29;1
CUST100074;18.00;Employed;00.00;15000;613;01.09;59;6782;0;1;0;Pinjaman Pribadi;Pribadi;9600;0,647916667;0,313888889;0,044444444;0,147916667;0
CUST100075;44.00.00;Employed;03.08;52442;714;06.06;552;20939;0;0;0;Kredit Berjalan;Bisnis;42600;08.11;0,277083333;0,563888889;0,188194444;0
CUST100076;36.00.00;Employed;05.06;15000;615;00.09;42;2352;0;0;0;Kartu Kredit;Renovasi Rumah;800;19.44;0,109027778;0.053;0.018;1
CUST100077;31.00.00;Employed;05.00;17124;595;12.08;342;2153;0;0;0;Kartu Kredit;Medis;20700;0,929861111;0,0875;1.209;0,279861111;0
CUST100078;36.00.00;Employed;08.02;60707;569;13.01;1319;10760;0;1;0;Kartu Kredit;Konsolidasi Hutang;7400;22.05;0,122916667;0,084722222;0.041;0
CUST100079;18.00;Self-Employed;01.00;72070;546;00.06;25;11549;0;0;0;Kredit Berjalan;Pendidikan;26500;13.09;00.16;0,255555556;0,085416667;1
CUST100080;32.00.00;Employed;09.00;39663;612;11.09;1288;20369;0;4;0;Kredit Berjalan;Pribadi;16700;0,545138889;0,356944444;0,292361111;00.14;0
CUST100081;39.00.00;Employed;11.04;70053;742;01.05;439;22131;0;0;0;Kartu Kredit;Pendidikan;58700;16.05;0,219444444;0,581944444;0,19375;1
CUST100082;52.00.00;Employed;07.08;63670;588;07.01;5227;10764;0;0;1;Pinjaman Pribadi;Renovasi Rumah;12400;16.07;0,117361111;0,135416667;0.065;0
CUST100083;28.00.00;Employed;03.06;47789;643;02.05;2169;8286;0;0;0;Pinjaman Pribadi;Medis;14500;13.09;0,120138889;0,210416667;0,070138889;1
CUST100084;25.00.00;Employed;02.09;28457;572;00.07;57;10323;0;1;0;Kredit Berjalan;Pendidikan;26600;14.18;0,252083333;0,649305556;0,216666667;0
CUST100085;28.00.00;Employed;06.06;84255;596;09.08;878;33977;0;1;0;Kartu Kredit;Pribadi;2500;22.41;0,279861111;00.03;00.01;0
CUST100086;45.00.00;Employed;03.08;26104;733;15.05;394;3965;0;0;0;Kredit Berjalan;Medis;17900;09.04;0,105555556;0,476388889;0,159027778;1
CUST100087;38.00.00;Employed;04.08;100452;626;04.04;34216;26515;0;1;0;Kredit Berjalan;Konsolidasi Hutang;18000;0,523611111;0,183333333;0,124305556;00.06;0
CUST100088;28.00.00;Self-Employed;02.04;68946;563;09.06;10665;14467;0;0;0;Kartu Kredit;Pendidikan;54800;0,942361111;00.21;0,552083333;0,184027778;1
CUST100089;41.00.00;Student;01.00;15089;677;05.02;71;5207;0;0;0;Kartu Kredit;Pribadi;1500;18.12;0,239583333;0.099;0.033;1
CUST100090;36.00.00;Employed;13.06;84881;671;16.05;624;15127;0;0;0;Pinjaman Pribadi;Medis;100000;12.25;0,123611111;1.178;0,272916667;1
CUST100091;46.00.00;Self-Employed;20.04;53989;707;02.00;111;7935;0;1;0;Pinjaman Pribadi;Pribadi;22200;0,483333333;0,102083333;0,285416667;0,095138889;1
CUST100092;26.00.00;Employed;05.09;23965;620;03.00;310;8363;0;2;0;Pinjaman Pribadi;Pendidikan;19700;0,598611111;0,242361111;0,570833333;0,190277778;1
CUST100093;31.00.00;Employed;09.07;15000;656;03.00;8833;2723;0;0;0;Pinjaman Pribadi;Medis;22100;12.07;0,126388889;1.473;0,340972222;1
CUST100094;30.00.00;Employed;02.09;41520;658;01.07;1580;8858;0;0;0;Kartu Kredit;Konsolidasi Hutang;38500;17.14;0,147916667;0,64375;0,214583333;0
CUST100095;18.00;Student;01.08;51991;632;01.00;148;14715;0;0;0;Kartu Kredit;Pendidikan;5200;0,901388889;0,196527778;00.01;0.033;1
CUST100096;38.00.00;Employed;01.01;51546;566;07.00;5034;10013;0;1;0;Pinjaman Pribadi;Medis;22700;16.23;0,134722222;00.44;0,102083333;0
CUST100097;38.00.00;Employed;10.08;48764;587;02.05;1189;8547;1;3;0;Kartu Kredit;Renovasi Rumah;48100;22.48;0,121527778;0,684722222;0,228472222;0
CUST100098;35.00.00;Self-Employed;02.01;78772;601;11.00;4079;11152;0;1;0;Pinjaman Pribadi;Bisnis;54100;13.28;0,098611111;0,477083333;0,159027778;1
CUST100099;32.00.00;Employed;08.04;40224;671;11.07;292;19103;0;0;0;Kartu Kredit;Pribadi;38800;17.03;0,329861111;0,670138889;0,223611111;1
CUST100100;18.00;Employed;00.00;20293;640;00.07;68;6127;0;0;0;Kartu Kredit;Pribadi;900;19.58;0,209722222;0.044;0.015;1
CUST100101;29.00.00;Self-Employed;04.08;23719;580;06.07;4338;3987;1;1;0;Kartu Kredit;Pendidikan;31100;22.42;0,116666667;1.311;0,303472222;0
CUST100102;30.00.00;Employed;00.04;32703;640;00.04;51;12283;0;0;0;Kartu Kredit;Medis;26500;0,900694444;0,261111111;0,05625;00.27;0
CUST100103;25.00.00;Employed;01.02;25673;662;03.02;249;10494;0;0;0;Kredit Berjalan;Medis;10300;0,463888889;0,284027778;0,278472222;0,093055556;1
CUST100104;33.00.00;Employed;11.03;61216;644;03.03;377;5894;0;0;0;Pinjaman Pribadi;Medis;92500;13.56;0.096;1.511;0,35;0
CUST100105;39.00.00;Employed;06.04;45153;703;02.04;612;17032;0;0;1;Pinjaman Pribadi;Pendidikan;75900;0,477777778;0,261805556;1.681;00.56;1
CUST100106;57.00.00;Self-Employed;26.06.00;116531;647;27.02.00;241834;26197;0;1;0;Kartu Kredit;Bisnis;45700;19.32;0,15625;0,272222222;0,090972222;1
CUST100107;37.00.00;Student;00.02;15000;678;11.04;3140;3430;0;0;0;Kredit Berjalan;Renovasi Rumah;6700;0,481944444;0,159027778;0,310416667;0,103472222;1
CUST100108;38.00.00;Employed;10.06;32304;611;05.03;436;11166;0;1;0;Kredit Berjalan;Renovasi Rumah;16600;11.36;0,240277778;0,356944444;0,11875;1
CUST100109;34.00.00;Employed;14.08;49400;633;15.05;1282;24497;0;0;0;Kredit Berjalan;Bisnis;16300;11.28;0,344444444;00.33;00.11;0
CUST100110;18.00;Employed;00.00;15000;630;00.01;3;3083;0;1;0;Pinjaman Pribadi;Renovasi Rumah;5800;14.28;0,143055556;0,26875;0,089583333;0
CUST100111;34.00.00;Employed;05.02;26957;743;07.07;8220;10988;0;0;0;Pinjaman Pribadi;Pendidikan;48300;11.01;0,283333333;1.792;0,414583333;1
CUST100112;35.00.00;Employed;16.04;74749;664;14.09;4204;27932;0;0;0;Kartu Kredit;Pribadi;70000;0,75625;0,259722222;0,65;0,216666667;1
CUST100113;64.00.00;Self-Employed;13.03;79988;659;22.02;3835;21478;0;0;0;Kartu Kredit;Medis;15700;17.02;0,186805556;0,136111111;0.065;1
CUST100114;32.00.00;Self-Employed;07.03;25622;638;02.08;71;2670;0;0;0;Pinjaman Pribadi;Pendidikan;5600;14.34;0,072222222;0,152083333;0.073;1
CUST100115;38.00.00;Employed;18.04;39184;684;19.05;4115;8599;0;0;0;Pinjaman Pribadi;Pribadi;62100;11.29;0,152083333;1.585;0,366666667;1
CUST100116;34.00.00;Employed;00.02;57880;635;12.00;4071;9813;0;0;0;Pinjaman Pribadi;Pribadi;53200;14.39;00.17;0,638194444;0,2125;1
CUST100117;20.00;Employed;01.01;26435;641;00.08;18;5658;0;0;0;Pinjaman Pribadi;Konsolidasi Hutang;31300;13.01;0,148611111;1.184;0,274305556;0
CUST100118;48.00.00;Employed;21.04;79056;612;05.05;357;22328;0;1;0;Kartu Kredit;Konsolidasi Hutang;11600;0,895138889;0,195833333;0,102083333;0.049;1
CUST100119;44.00.00;Student;00.08;20821;714;10.04;172;7864;0;0;0;Kartu Kredit;Konsolidasi Hutang;2100;16.42;0,2625;0,070138889;0.034;1
CUST100120;44.00.00;Employed;17.05;103052;641;09.05;14565;21353;0;0;0;Kredit Berjalan;Konsolidasi Hutang;42600;11.01;0,14375;0,286805556;0,095833333;1
CUST100121;24.00.00;Employed;04.08;20874;601;01.00;26;5259;0;0;0;Pinjaman Pribadi;Pribadi;20000;0,632638889;0,175;0,665277778;0,221527778;1
CUST100122;51.00.00;Self-Employed;09.08;47304;657;25.01.00;2868;12139;0;0;0;Pinjaman Pribadi;Medis;53200;11.05;0,178472222;1.125;0,260416667;1
CUST100123;18.00;Employed;00.00;22236;564;01.06;11;13003;0;0;0;Kartu Kredit;Pendidikan;27400;21.06;0,40625;1.232;0,285416667;0
CUST100124;42.00.00;Employed;02.01;63925;735;15.05;25375;5041;0;0;0;Kartu Kredit;Pendidikan;2700;16.44;0.079;0.042;0.014;1
CUST100125;61.00.00;Employed;38.02.00;246598;702;09.02;2489;81525;0;0;0;Kartu Kredit;Bisnis;70000;15.09;0,229861111;0,197222222;0.095;1
CUST100126;23.00;Student;00.01;15000;617;02.07;79;716;0;1;0;Kartu Kredit;Pendidikan;1500;0,900694444;0.048;00.01;0.033;1
CUST100127;28.00.00;Self-Employed;03.04;134440;641;04.07;1893;7238;0;0;0;Kartu Kredit;Konsolidasi Hutang;60500;0,882638889;0.054;00.45;00.15;0
CUST100128;36.00.00;Employed;09.06;76486;652;13.07;11903;19387;0;0;0;Kartu Kredit;Renovasi Rumah;70000;0,815277778;0,175694444;0,635416667;0,211805556;1
CUST100129;28.00.00;Employed;01.04;43149;654;01.02;5764;18969;0;0;0;Pinjaman Pribadi;Renovasi Rumah;57800;12.55;00.44;01.34;0,310416667;0
CUST100130;18.00;Employed;00.00;23129;670;00.04;13;2077;0;0;0;Kartu Kredit;Bisnis;23900;17.44;00.09;1.033;0,238888889;0
CUST100131;35.00.00;Employed;05.00;29272;657;06.08;43;13669;0;0;1;Kartu Kredit;Konsolidasi Hutang;25800;0,818055556;0,324305556;0,611805556;0,204166667;0
CUST100132;22.00;Employed;03.02;45904;592;02.00;285;17642;0;0;0;Kartu Kredit;Renovasi Rumah;52200;21.49;0,266666667;1.137;0,263194444;0
CUST100133;40.00.00;Employed;18.01;66046;623;15.03;4843;7718;0;1;0;Pinjaman Pribadi;Pribadi;100000;13.15;0,08125;1.514;0,350694444;1
CUST100134;23.00;Employed;02.02;15177;698;03.00;11;2128;0;0;0;Pinjaman Pribadi;Pendidikan;5400;12.46;00.14;0,247222222;0,082638889;1
CUST100135;53.00.00;Employed;15.02;132904;484;24.03.00;3873;31171;0;2;0;Pinjaman Pribadi;Renovasi Rumah;100000;0,690972222;0,163194444;0,522222222;0,174305556;1
CUST100136;25.00.00;Employed;00.05;31555;569;05.04;750;6842;0;0;0;Pinjaman Pribadi;Konsolidasi Hutang;25800;16.46;0,150694444;0,568055556;0,189583333;0
CUST100137;31.00.00;Employed;04.06;16069;440;04.06;113;4414;0;1;0;Kredit Berjalan;Bisnis;6300;0,640277778;0,190972222;0,272222222;0,090972222;0
CUST100138;44.00.00;Employed;10.05;97803;727;00.05;75;32371;0;0;0;Kartu Kredit;Bisnis;70000;0,671527778;0,229861111;0,497222222;0,165972222;1
CUST100139;20.00;Self-Employed;01.00;48503;655;01.09;294;9667;0;0;0;Kartu Kredit;Pendidikan;27500;17.02;0,138194444;0,39375;0,13125;1
CUST100140;37.00.00;Self-Employed;07.03;41531;784;08.02;836;14306;0;0;0;Kartu Kredit;Pribadi;11900;15.08;0,238888889;0,199305556;0.096;1
CUST100141;50.00.00;Self-Employed;03.05;170371;677;02.06;103;41781;0;0;0;Kartu Kredit;Renovasi Rumah;3600;0,754166667;0,170138889;0.021;0.007;1
CUST100142;18.00;Employed;00.00;22404;490;01.08;34;10023;0;1;2;Kredit Berjalan;Pribadi;18600;14.29;0,310416667;0,057638889;0,192361111;0
CUST100143;37.00.00;Employed;08.02;49011;669;08.04;132;26871;0;0;0;Kredit Berjalan;Bisnis;23600;09.44;0,380555556;0,334722222;0,111805556;0
CUST100144;38.00.00;Student;00.08;17861;576;00.08;628;8543;0;0;1;Kredit Berjalan;Pribadi;6900;13.09;0,331944444;0,268055556;0,089583333;0
CUST100145;44.00.00;Employed;03.07;116002;612;20.06;842;39433;0;1;0;Pinjaman Pribadi;Pendidikan;100000;0,60625;00.34;0,598611111;0,199305556;1
CUST100146;20.00;Employed;01.03;40582;548;01.05;6042;3140;0;0;0;Kredit Berjalan;Pribadi;19300;13.47;0.077;0,330555556;0,110416667;0
CUST100147;19.00;Employed;00.01;25197;622;00.05;24;6888;0;2;0;Kartu Kredit;Renovasi Rumah;24200;19.05;0,189583333;0,066666667;00.32;0
CUST100148;41.00.00;Employed;00.01;26189;697;03.08;211;4149;0;0;0;Kartu Kredit;Pendidikan;23200;18.37;0,109722222;0,615277778;0,204861111;1
CUST100149;38.00.00;Student;01.02;26736;596;07.06;1296;5468;0;1;1;Pinjaman Pribadi;Pribadi;20400;15.47;0,142361111;0,529861111;0,176388889;0
CUST100150;38.00.00;Employed;01.07;62939;651;10.05;310;15270;1;3;0;Kartu Kredit;Konsolidasi Hutang;18600;18.22;0,16875;0,205555556;0.099;0
CUST100151;39.00.00;Employed;01.03;55353;641;14.03;226;29460;0;0;0;Kartu Kredit;Pribadi;20000;0,89375;0,369444444;0,250694444;00.12;0
CUST100152;26.00.00;Student;00.02;16409;653;07.05;550;4709;0;0;0;Pinjaman Pribadi;Pribadi;5900;11.08;0,199305556;00.36;00.12;1
CUST100153;37.00.00;Employed;17.08;63252;584;01.00;309;22821;0;0;0;Pinjaman Pribadi;Pendidikan;100000;15.47;0,250694444;1.581;0,365972222;0
CUST100154;38.00.00;Employed;02.01;60706;600;04.05;642;21034;0;2;0;Kredit Berjalan;Bisnis;17300;11.26;0,240277778;0,197916667;0.095;0
CUST100155;26.00.00;Employed;06.07;49978;555;06.04;143;12337;0;0;0;Pinjaman Pribadi;Renovasi Rumah;87500;15.32;0,171527778;1.751;0,405555556;0
CUST100156;57.00.00;Self-Employed;23.05;68032;599;13.08;331;23373;0;1;0;Kredit Berjalan;Konsolidasi Hutang;20000;0,6375;0,238888889;0,204166667;0.098;0
CUST100157;40.00.00;Employed;18.05;59009;704;16.00;2285;4832;0;1;0;Kartu Kredit;Pendidikan;4500;0,734027778;0.082;0.076;0.025;1
CUST100158;20.00;Employed;01.02;23972;708;00.07;71;5404;0;0;0;Kredit Berjalan;Bisnis;17000;0,377777778;0,15625;0,492361111;0,163888889;1
CUST100159;42.00.00;Employed;03.07;86164;685;10.02;4052;17429;0;0;0;Pinjaman Pribadi;Pribadi;66700;0,565277778;0,140277778;0,5375;0,179166667;1
CUST100160;23.00;Student;01.05;15000;638;01.09;6;2320;0;0;0;Kredit Berjalan;Medis;5000;12.27;0,107638889;0,23125;0,077083333;1
CUST100161;44.00.00;Employed;14.07;49092;606;11.02;8217;9506;0;0;0;Kredit Berjalan;Pribadi;16600;11.44;0,134722222;0,234722222;0,078472222;1
